qabas_lemma_id,qabas_lemma,sama_lemma_id,sama_lemma
202005075,اِفْتِتاحِيَّةٌ,390020406,"ٱِفْتِتاحِيَّة 1"
202005077,مُنْفَتِحٌ,390037894,"مُنْفَتِح 1"
202005081,اِسْتِفْهَامٌ,390019057,"ٱِسْتِفْهام 1"
202005078,اِسْتِفْزَازِيٌّ,390019053,"ٱِسْتِفْزازِيّ 1"
202005080,تَفْسِيرِيَّةٌ,390037192,"تَفْسِيرِيّ 1"
202005079,اِسْتِفْسَارٌ,390019059,"ٱِسْتِفْسار 1"
202005061,اِسْتِغْرَاقٌ,390018108,"ٱِسْتِغْراق 1"
202005069,اِسْتِفَاضَةٌ,390018113,"ٱِسْتِفاضَة 1"
202005070,فَتَىً,390017850,"فَتَى 1"
2023249501,سَمْبُوسِكْ,390039818,"سَمْبُوسَق 1"
2020229900,اِغْتَزَلَ,390001139,"ٱِغْتَزَل 1"
2020230000,"تَغَزَّلَ ب",390000159,"تَغَزَّل 1"
2020630600,اِسْتَرْخَصَ,390008007,"ٱِسْتَرْخَص 1"
2020630500,"أَرْخَصَ | أَرْخَصَ في",390001009,"أَرْخَص 1"
2020630300,رَخُصَ1,390005687,"رَخُصُ۪ 1"
2020630400,رَخُصَ2,390005687,"رَخُصُ۪ 1"
2020630100,رَخَّ,390005683,"رَخُّ۪ 1"
2020629500,اِسْتَرْحَمَ,390007992,"ٱِسْتَرْحَم 1"
2020629600,تَرَاحَمَ,390005364,"تَراحَم 1"
2020629700,"تَرَحَّمَ على",390005398,"تَرَحَّم 1"
2020629400,رَحِمَ,390005665,"رَحِمَ۪ 1"
2020629200,"تَرَحَّلَ | تَرَحَّلَ عن",390005399,"تَرَحَّل 1"
2020629000,"اِرْتَحَلَ | اِرْتَحَلَ إلى | اِرْتَحَلَ عن",390007101,"ٱِرْتَحَل 1"
2020628600,"رَحْرَحَ | رَحْرَحَ ب",390005688,"رَحْرَح 1"
2020627800,اِرْتَجى,390007105,"ٱِرْتَجَى 1"
2020627900,تَرَجَّى,390005389,"تَرَجَّى 1"
2020627600,رَجا,390005620,"رَجاُ۪ 1"
2020627500,"رَجَّمَ | رَجَّمَ ب",390005676,"رَجَّم 1"
2020627100,"رَجَمَ | رَجَمَ ب",390005655,"رَجَمُ۪ 1"
2020626600,تَرَجَّلَ,390005380,"تَرَجَّل 1"
2020626500,اِسْتَرْجَلَ,390007991,"ٱِسْتَرْجَل 1"
2020626400,اِرْتَجَلَ,390007104,"ٱِرْتَجَل 1"
2020626100,اِرْتَجَفَ,390007107,"ٱِرْتَجَف 1"
2020626000,"أَرْجَفَ | أَرْجَفَ ب | أرجفَ في",390000993,"أَرْجَف 1"
2020625900,رَجَفَ,390005654,"رَجَفُ۪ 1"
2020625400,"أَرْجَعَ | أَرْجَعَ في",390000991,"أَرْجَع 1"
2020625100,رَجِسَ,390005639,"رَجِسَ۪ 1"
2020625000,رَجُسَ,390005635,"رَجُسُ۪ 1"
2020624400,تَرَجْرَجَ,390005388,"تَرَجْرَج 1"
2020624600,اِرْتَجَزَ,390007103,"ٱِرْتَجَز 1"
2020624300,رَجْرَجَ,390005674,"رَجْرَج 1"
2020623800,"تَرَجَّحَ | تَرَجَّحَ ب",390005382,"تَرَجَّح 1"
2020623700,"تَأَرْجَحَ | تَأَرْجَحَ على",390002862,"تَأَرْجَح 1"
2020623400,اِرْتَجَّ,390007100,"ٱِرْتَجّ 1"
2020623300,رَجَّ1,390005677,"رَجُّ۪ 1"
2020623100,أَرْجَأَ,390000989,"أَرْجَأ 1"
2020622900,رَثَا,390005614,"رَثاُ۪ 1"
2020623000,"رَثَى | رَثَى ل",390005616,"رَثَى 1"
2020622600,رَتَّلَ,390005633,"رَتَّل 1"
2020622400,رَتِلَ,390005630,"رَتِلَ۪ 1"
2020622200,رَتَقَ,390005591,"رَتَقُِ۪ 1"
2020621600,رَتِجَ,390005627,"رَتِجَ۪ 1"
2020621700,أَرْتَجَ,390000988,"أَرْتَج 1"
2020621500,رَتَجَ,390005588,"رَتَجُ۪ 1"
2020621300,رَتَّبَ,390005632,"رَتَّب 1"
2020620900,رَابَى,390005269,"رابَى 1"
2020621000,رَبَّى,390005609,"رَبَّى 1"
2020620700,"أَرْبَى1 | أَرْبَى1 على",390000987,"أَرْبَى 1"
2020620800,تَرَبَّى,390005384,"تَرَبَّى 1"
2020620500,"رَبَا | رَبَا في",390005564,"رَبا 1"
2020620300,أَرْبَكَ,390000986,"أَرْبَك 1"
2020620400,"اِرْتَبَكَ | اِرْتَبَكَ في",390007092,"ٱِرْتَبَك 1"
2020620200,رَبِكَ,390005561,"رَبِكَ۪ 1"
2020619900,"تَرَبَّعَ | تَرَبَّعَ ب | تَرَبَّعَ في",390005385,"تَرَبَّع 1"
2020618700,"تَرَبَّصَ | تَرَبَّصَ ب | تَرَبَّصَ ل",390005386,"تَرَبَّص 1"
2020618400,"اِرْبَدَّ من",390007082,"ٱِرْبَدّ 1"
2020618500,"تَرَبَّدَ | تَرَبَّدَ من",390005387,"تَرَبَّد 1"
2020617600,"رَبَتَ على",390005570,"رَبَتِ۪ 1"
2020617800,أَرْبَحَ,390000985,"أَرْبَح 1"
2020617500,"رَبَّتَ | رَبَّتَ على",390005603,"رَبَّت 1"
2020617100,رَاءَى,390005265,"راءَى 1"
2020617200,"رَبَأَ | رَبَأَ ب | رَبَأَ ل",390005567,"رَبَأَ۪ 1"
2020617000,تَرَاءَى,390005356,"تَراءَى 1"
2020616800,اِرْتَأى,390007088,"ٱِرْتَأَى 1"
2020616300,رَئِمَ,390005525,"رَئِمَ۪ 1"
2020616200,"تَرَأَّفَ ب | تَرَأَّفَ على",390005377,"تَرَأَّف 1"
2020615900,"رَؤُفَ ب",390005522,"رَؤُفُ۪ 1"
2020615700,"اِرْتَأَسَ | اِرْتَأَسَ على",390007091,"ٱِرْتَأَس 1"
2020615800,"رَأَفَ ب",390005539,"رَأَفَ۪ 1"
2020615000,رَأْرَأَ,390005516,"رَأْرَأ 1"
2020614800,نَيَّلَ,390001291,"نَيَّل 1"
2020614900,رَأَبَ,390005534,"رَأَبَ۪ 1"
2020614200,نَاءَ,390006399,"ناءِ۪ 1"
2020614000,"اِنْتَوَى | اِنْتَوَى عَنْ",390003139,"ٱِنْتَوَى 1"
2020613900,"نَوَى2 | نَوَى على",390001237,"نَوَىِ۪ 1"
2020613600,نَوَّنَ,390001282,"نَوَّن 1"
2020613500,نَوَّمَ,390001273,"نَوَّم 1"
2020613300,اِسْتَنَامَ,390008997,"ٱِسْتَنام 1"
2020613400,تَنَاوَمَ,390003504,"تَناوَم 1"
2020613200,أَنَامَ,390004810,"أَنام 1"
2020612900,ناوَلَ,390008398,"ناوَل 1"
2020613000,نَوَّلَ,390001276,"نَوَّل 1"
2020612700,أَنَالَ,390004809,"أَنال 1"
2020612500,اِسْتَنْوَقَ,390000345,"ٱِسْتَنْوَق 1"
2020612300,"أَنَافَ | أَنَافَ عَلَى",390004499,"أَناف 1"
2020612400,"نَيَّفَ على",390001285,"نَيَّف 1"
2020612200,"نافَ | نافَ على",390006503,"نافُ۪ 1"
2020611900,أَنَاطَ,390004496,"أَناط 1"
2020611800,ناطَ,390006438,"ناطُ۪ 1"
2020611700,"نَاصَ إلى | نَاصَ عن",390006456,"ناصُ۪ 1"
2020611600,ناوَشَ,390008400,"ناوَش 1"
