synset_id,ao_concept_id,matched_word,added_words
awn3-02271765-v,52972,اقتصد,اِقْتَصَدَ في
awn3-02332053-n,293388,حيوان قارض,كَائِنٌ قَارِضٌ
awn3-04987712-n,46251,عبق,تَأَرَّجَ في|نَمَّ|نَمَّ عن|فَغَمَ|فَاعَ|طارَ
awn3-00658847-n,47494,عنايه,اِكْتِرَاثٌ|اِهْتِمامٌ|اِعْتِناءٌ|اِنْتِبَاهٌ|حَرْصٌ|حِرْصٌ
awn3-00047177-r,53828,للغايه,جِدَّاً|لِأقصَى دَرَجة|إلى حدٍّ كبير
awn3-02696036-a,46311,خلوي,مُوبايْل|جَوَّالٌ|تِلِفُونٌ|تِلِيفُونٌ|هَاتِفٌ|مَحْمُولٌ
awn3-07277247-n,47962,مؤشر,كِنَايَةٌ|تَلْمِيحٌ|رَمْزٌ|عَلَامَةٌ|دَلِيلٌ|دَلالَةٌ
awn3-15232668-n,293595,شهر قمري,شَهْرٌ هِجْرِيّ|شَهْرٌ عَرَبِيٌّ
awn3-03133170-n,52261,مرهم,مَرُوخٌ|دِهَانٌ|بَلْسَمٌ
awn3-03422255-n,46689,حديقه,مَقْطَنَةٌ|مُسْتَنْبَتٌ|فِرْدَوْسٌ|بُستانٌ|غُوطَةٌ|غَيْطٌ1
awn3-02492581-v,46318,التقي,رَكَمٌ|اِجْتَمَعَ|اِجْتَمَعَ ب|تَجَمْهَرَ|تَلَاقَى|اِنْدَمَجَ في
awn3-08398167-n,47360,زعامه,رِئَاسَةٌ|سِيَادَةٌ|إِمَارَةٌ|نُفوذٌ|سُلْطَةٌ|قُوَّةٌ1
awn3-07403930-n,46178,جلجله,قَرْقَعَةٌ|عَقِيرَةٌ|حِسٌّ|عَزْفٌ|غَوْغَاءُ|صَخَبٌ
awn3-06554038-n,48975,تحريم,كَبْتٌ|كَتَمَ|كَبْحٌ
awn3-10648006-n,46550,عاهل,قَيْصَرٌ|أَمِيرٌ|عَظِيمٌ|حاكِمٌ|إِمْبِرَاطُورٌ|فِرْعَونٌ
awn3-00182828-r,54021,عندما,حِينَمَا|لَمَّا
awn3-02876454-a,52395,حضري,مَدَنِيٌّ|مَدِينِيٌّ|مَدِينِيَّةٌ
awn3-15227602-n,293593,سنه شمسيه,سَنَة ميلاديّة
awn3-00006354-a,53765,ماص,مُمْتَزٌّ|مُمْتَصٌّ|مَصَّاصٌ|مَازٌّ
awn3-00597025-v,46270,ايقن,ثَبَتَ|ثَبَتَ على|ثَبَتَ في|اِسْتَثْبَتَ|اِسْتَثْبَتَ في|اِسْتَثْبَتَ من
awn3-13596636-n,53639,اختمار,تَخْمِيرٌ
awn3-00272510-v,53844,زعزع,قَلْقَلَ|تَقَلْقَلَ|تَهَزْهَزَ|تَهَزْهَزَ إلى|زَعْزَعَ ب
awn3-02821967-n,46909,سرير,مُضَّجَعٌ|مُضْطَجَعٌ|مَهْجَعٌ|تَخْتٌ|مَثْوًى|مَضْجَعٌ
awn3-01911069-v,46360,صحب,آخَى|جَالَسَ|جَاوَرَ|اِصْطَحَبَ|لَابَسَ|خادَنَ
awn3-01173463-v,45922,احتسي,نَهِلَ|رَشِفَ|تَمَصَّصَ|اِجْتَرَعَ|جَرَعَ|تَجَرَّعَ
awn3-01350856-v,45882,اقفل,أَرْتَجَ|رَتَجَ|أَزْلَجَ|أَطْبَقَ|أَطْبَقَ على|صَكَّ
awn3-01146646-n,47451,تحضير,إِعْدَادٌ|تَجْهِيزٌ
awn3-15078434-n,51316,نشاء,نَشَا
awn3-14519777-n,49414,نظافه,طَهَارَةٌ|طِهَارَةٌ|صَفَاءٌ|نَقَاوَةٌ
awn3-11438574-n,46691,بخت,قِسْمَةٌ|كِفْلٌ|حُظْوَةٌ|نَصِيبٌ|رِزْقٌ
awn3-03152175-n,47312,فنجان,كُوبٌ|قَدَحٌ|جَامٌ|كَأْسٌ
awn3-02610484-v,49278,تعايش,مُعايَشَةٌ|تَكافُلٌ
awn3-00996121-v,48708,شفر,كِفَافٌ|شَفَةٌ
awn3-10045455-n,52201,واهب,مُعْطٍ
awn3-04895107-n,46008,عجرفه,تَجَبُّرٌ|نَعْرَةٌ|تَصَلُّفٌ|تَغَطْرُسٌ|تَعَجْرُفٌ|تَبَخْتُرٌ
