concept_id,subTypeOfID,partOfID,instanceOfID
42024,293203,NULL,NULL
42027,293203,NULL,NULL
42037,293203,NULL,NULL
42112,293203,NULL,NULL
42137,293203,NULL,NULL
42158,293203,NULL,NULL
42159,293203,NULL,NULL
42160,293203,NULL,NULL
42203,293203,NULL,NULL
42204,293203,NULL,NULL
42310,293203,NULL,NULL
42332,293203,NULL,NULL
42353,293203,NULL,NULL
42356,293203,NULL,NULL
42358,293203,NULL,NULL
42405,293203,NULL,NULL
42419,293203,NULL,NULL
42439,293203,NULL,NULL
42441,293203,NULL,NULL
42443,293203,NULL,NULL
42447,293203,NULL,NULL
42453,293203,NULL,NULL
42454,293203,NULL,NULL
42472,293203,NULL,NULL
42473,293203,NULL,NULL
42483,293203,NULL,NULL
42488,293203,NULL,NULL
42489,293203,NULL,NULL
42492,293203,NULL,NULL
42528,293203,NULL,NULL
42561,293203,NULL,NULL
42562,293203,NULL,NULL
42563,293203,NULL,NULL
42564,293203,NULL,NULL
42566,293203,NULL,NULL
42634,293203,NULL,NULL
42670,293203,NULL,NULL
42674,293203,NULL,NULL
42675,293203,NULL,NULL
42676,293203,NULL,NULL
42699,293203,NULL,NULL
42701,293203,NULL,NULL
42705,293203,NULL,NULL
42827,293203,NULL,NULL
42841,293203,NULL,NULL
42846,293203,NULL,NULL
42873,293203,NULL,NULL
42880,293203,NULL,NULL
42909,293203,NULL,NULL
40938,293215,NULL,NULL
40946,293215,NULL,NULL
40965,293215,NULL,NULL
40974,293215,NULL,NULL
40986,293215,NULL,NULL
40988,293215,NULL,NULL
40999,293215,NULL,NULL
41000,293215,NULL,NULL
41012,293215,NULL,NULL
41016,293215,NULL,NULL
41026,293215,NULL,NULL
41064,293215,NULL,NULL
41069,293215,NULL,NULL
41071,293215,NULL,NULL
41084,293215,NULL,NULL
41085,293215,NULL,NULL
41146,293215,NULL,NULL
41154,293215,NULL,NULL
41158,293215,NULL,NULL
41159,293215,NULL,NULL
41184,293215,NULL,NULL
41226,293215,NULL,NULL
41258,293215,NULL,NULL
41291,293215,NULL,NULL
41297,293215,NULL,NULL
41298,293215,NULL,NULL
41307,293215,NULL,NULL
41320,293215,NULL,NULL
41325,293215,NULL,NULL
41332,293215,NULL,NULL
41339,293215,NULL,NULL
41340,293215,NULL,NULL
41344,293215,NULL,NULL
41345,293215,NULL,NULL
41350,293215,NULL,NULL
41357,293215,NULL,NULL
41358,293215,NULL,NULL
41359,293215,NULL,NULL
41372,293215,NULL,NULL
41373,293215,NULL,NULL
41377,293215,NULL,NULL
41378,293215,NULL,NULL
41380,293215,NULL,NULL
41387,293215,NULL,NULL
41390,293215,NULL,NULL
41391,293215,NULL,NULL
41393,293215,NULL,NULL
41407,293215,NULL,NULL
41423,293215,NULL,NULL
41424,293215,NULL,NULL
41425,293215,NULL,NULL
41426,293215,NULL,NULL
41429,293215,NULL,NULL
41441,293215,NULL,NULL
41444,293215,NULL,NULL
41449,293215,NULL,NULL
41450,293215,NULL,NULL
41456,293215,NULL,NULL
41470,293215,NULL,NULL
41483,293215,NULL,NULL
41505,293215,NULL,NULL
41532,293215,NULL,NULL
41609,293215,NULL,NULL
41610,293215,NULL,NULL
41611,293215,NULL,NULL
