ao_concept_id,synset_id,arabic_words,has_hypernym
52001,awn3-15322109-u,سُباعِيٌّ,False
52002,awn3-15322110-u,سُباعِيٌّ,False
52003,awn3-15322111-u,سَوْفَ,False
52004,awn3-15322112-u,سُلٌّ|سِلٌّ,False
52005,awn3-15322113-u,سُلٌّ|سِلٌّ|تَدَرُّنٌ,False
52011,awn3-15322114-u,صبغ نباتي,False
52012,awn3-15322115-u,رَشَّاشَة,False
52013,awn3-15322116-u,زُبَيْرِيَّة,False
52029,awn3-15322117-u,رَتْنَجَ,False
52030,awn3-15322118-u,شَطَّطَ في,False
52040,awn3-15322119-u,اختَنَقَ بالُّدُخان|خَنَقَ بالُّدُخان,False
52042,awn3-15322120-u,أشجار مُعْبَلة الأوراق|أشجار نَفْضيَّة,False
52043,awn3-15322121-u,عَلَقَةٌ,False
52049,awn3-15322122-u,أحاديّ الطَّور|أُحادِيُّ الطَّور|وَحيدُ الطّور,False
52051,awn3-15322123-u,تَصْفِيحٌ|تَدْرِيعٌ,False
52052,awn3-15322124-u,الزاج الأزرق|الزَّاج الأزرق|كبريتات النحاس المائية,False
52053,awn3-15322125-u,كابولٌ,False
52054,awn3-15322126-u,فكّ الرّمز|فكّ الرّموز|حلّ الشَّفرة,False
52055,awn3-15322127-u,لا لوني,False
52056,awn3-15322128-u,مُتْعِبٌ,False
52057,awn3-15322129-u,صَهِيرَةٌ|قَابِسٌ|مَصْهَرٌ,False
52058,awn3-15322130-u,مَأْكُولٌ,False
52059,awn3-15322131-u,مُعَرَّقٌ,False
52060,awn3-15322132-u,مَطِيرٌ,False
52063,awn3-15322133-u,مُهَجَّن|مُخْتلِط الجِنْس|مُخْتَلَطْ النسْل,False
52081,awn3-15322134-u,شَاهِدٌ1,False
52082,awn3-15322135-u,شَاهِدٌ1,False
52084,awn3-15322136-u,كَشْكٌ|كِشْكٌ,False
52086,awn3-15322137-u,سَجَّ,False
52096,awn3-15322138-u,صَدَقَةٌ,False
52098,awn3-15322139-u,رَاقِدٌ,False
52099,awn3-15322140-u,الاعتدال الربيعي|الاعِتدالُ الربيعي,False
52100,awn3-15322141-u,اِمْتِثَالٌ,False
52102,awn3-15322142-u,عَرَبِيَّةٌ,False
52104,awn3-15322143-u,البحر الأَحْمَر,False
52109,awn3-15322144-u,الماء الأزرق,False
52115,awn3-15322145-u,أَصْقَعَ,False
52117,awn3-15322146-u,غير كَفِيّ|غير كُفُؤ|غيرُ أهلٍ ل,False
52120,awn3-15322147-u,مِنْقَادٌ|مِنْقَارٌ|مِنْسَرٌ,False
52123,awn3-15322148-u,مِسْوَاةٌ,False
52124,awn3-15322149-u,رَفْشٌ|مِغْرَفَةٌ|جَارُوفٌ,False
52137,awn3-15322150-u,تَفَلْوَرَ|أَلَقَ,False
52142,awn3-15322151-u,نَفُوذِيَّةٌ|إِنْفَاذِيَّةٌ|نَفاذيَّةٌ,False
52143,awn3-15322152-u,تَرَاجُعِيٌّ|اِنْكِمَاشِيٌّ,False
52144,awn3-15322153-u,أمواج متواصلة|أمواج مستمرة|أمواجٌ غير مُضاءلة,False
52147,awn3-15322154-u,عَفْشٌ,False
52148,awn3-15322155-u,رَاقُودٌ,False
52149,awn3-15322156-u,تَطْعِيمٌ|تَلْقِيحٌ,False
52150,awn3-15322157-u,مُوَبَّرٌ|زَغِبٌ|نَدِيفٌ,False
52153,awn3-15322158-u,خَرْبَشَ,False
52155,awn3-15322159-u,مُرْبِكٌ|مُعَرْقِلٌ|مُحْرِجٌ,False
52156,awn3-15322160-u,قِطَع مُشَكّلة|قوالب مُشكَّلة|مَصبوبات,False
52157,awn3-15322161-u,قَوّارَةٌ,False
52159,awn3-15322162-u,كلُورَاتٌ|كْلُورِيدٌ|كُلُورُورٌ,False
52160,awn3-15322163-u,كتلة من حجر|كتلة من خشب|كتلة من معدن,False
52161,awn3-15322164-u,مُرَاهِنٌ|مُخَاطِرٌ,False
52162,awn3-15322165-u,مِشْكَال|كَليدُوسكوب|منظارُ التّماذِجِ المُتَغيِّرة,False
52163,awn3-15322166-u,مقياس ضغط السائل|مقياس ضغط الغاز|مقياسُ ضَغط الغاز,False
52166,awn3-15322167-u,طَلَقَ1,False
