ili_id,pos,arabic_words,ao_concept_id
i116785,n,آخِرَةٌ,293739
i54970,n,كُوخٌ,293753
i12004,s,صِفْرٌ,293767
i12006,s,وَاحِدٌ,293768
i12007,s,اِثْنَانِ,293868
i17093,a,,151113102
i17225,a,,151113234
i60650,n,مِخْرَطَةٌ,200000001
i50197,n,مَرْسَمٌ,200000005
i50285,n,مَصْنَع سَيّارات,200000006
i60160,n,مَصْنَع غَزْل ونَسِيج,200000013
i59534,n,مَصْنَع حَديد وصُلْب,200000014
i56718,n,مِصْفاة بِتْرُول|مِصْفاة نَفْط|مِصْفاة نِفْط|مَعْمَل تَكْرير النَّفْط|مَعْمَل تَكْرير بِتْرُول,200000015
i56982,n,مَصْنَع وَرَق,200000016
i52686,n,مَصْنَع أَلْبان,200000018
i61199,n,مَصْنَع نَبيذ,200000020
i51118,n,مَصْنَع بِيرَة|مَصْنَع جِعَة,200000022
i26334,v,رَقْمٌ|عَدَدٌ|رَقَمَ|رَقَمَ على|رَقَمَ في,200000033
i26490,v,كَلِمَةٌ|كِلْمَةٌ,200000034
i68856,n,مُعالَجَة اللُغات الطَبيعّية,334000001
i68970,n,اللِسانيّات الحاسوبيّة,334000002
i4268,s,تَشْكِيلَةٌ,334000004
i69821,n,جِذْعٌ,334000007
i22580,v,سَاقٌ,334000008
i23528,v,جَذْرٌ2|جِذْرٌ,334000009
i28163,v,سابِقَة,334000011
i28164,v,لَاحِقَةٌ,334000012
i64400,n,مُدَوَّنَةٌ,334000013
i68964,n,إِبِسْتِيمُولُوجِيَا,334000016
i68946,n,أُنْطُولُوجِيَا,334000017
i64055,n,وَاقِعِيَّةٌ,334000018
i62580,n,مِثَالِيَّةٌ,334000019
i68212,n,مَادِّيَّةٌ,334000020
i68249,n,اِرْتِيَابِيَّةٌ|شُكوكيَّةٌ,334000021
i68199,n,تَصَوُّريَّةٌ,334000024
i68218,n,اِسْميَّةٌ,334000025
i67276,n,اخْتِزَالِيَّةٌ,334000028
i69017,n,الدلالة اللغوية,334000029
i40350,n,تَصَوُّرٌ,334000030
i26682,v,مِصْدَاقٌ|ماصَدَقٌ,334000031
